# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-07-16 00:26:50 UTC;wlan0;53.00;8.00;2.52;0.95;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:50 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:50 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:51 UTC;wlan0;36.00;0.00;1.62;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:51 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:51 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:52 UTC;wlan0;40.00;0.00;2.88;0.00;0.00;0.00;4.00;0.00
isaacpi;1;2017-07-16 00:26:52 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:52 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;wlan0;39.00;4.00;1.86;0.55;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;wlan0;20.00;0.00;0.90;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;wlan0;453.00;310.00;605.70;28.18;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;wlan0;1060.00;760.00;1498.89;71.02;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;wlan0;1205.00;834.00;1709.23;76.18;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:58 UTC;wlan0;45.00;0.00;2.02;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:58 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:58 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:59 UTC;wlan0;54.00;0.00;4.47;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:59 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:59 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:59 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:00 UTC;wlan0;43.00;1.00;1.93;0.06;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:00 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:00 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:00 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:01 UTC;wlan0;31.00;0.00;1.39;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:01 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:01 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:01 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:02 UTC;wlan0;31.00;0.00;1.38;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:02 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:02 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:02 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:03 UTC;wlan0;34.00;3.00;1.54;1.21;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:03 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:03 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:03 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:04 UTC;wlan0;34.00;8.00;2.48;3.23;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:04 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:04 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:04 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:05 UTC;wlan0;46.00;9.00;6.59;1.18;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:05 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:05 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:05 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:06 UTC;wlan0;905.00;820.00;1253.30;79.21;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:06 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:06 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:06 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:07 UTC;wlan0;951.00;794.00;1326.78;73.97;0.00;0.00;1.00;0.00
isaacpi;1;2017-07-16 00:27:07 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:07 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:07 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:27:08 UTC;wlan0;991.00;752.00;1392.29;69.65;0.00;0.00;1.00;0.00
